"Ano","Quantidade de Contribuintes","Número Médio Mensal Contrib","Valor  das Remunerações R$","Faixa de Idade","Estatística Pessoa Física","Sexo"
"2004","502659","369316,00","4813723480,00","60 a 64 anos","Quantidade de Contribuintes","Masculino"
"2004","297857","208438,00","1644249100,00","60 a 64 anos","Quantidade de Contribuintes","Feminino"
"2004","602","472,00","3351931,00","60 a 64 anos","Quantidade de Contribuintes","Ignorado"
"2004","203046","142646,00","1814353773,00","65 a 69 anos","Quantidade de Contribuintes","Masculino"
"2004","101754","71293,00","538949603,00","65 a 69 anos","Quantidade de Contribuintes","Feminino"
"2004","241","169,00","1102266,00","65 a 69 anos","Quantidade de Contribuintes","Ignorado"
"2004","118425","87904,00","1139168336,00","70 anos e mais","Quantidade de Contribuintes","Masculino"
"2004","51711","36240,00","305397712,00","70 anos e mais","Quantidade de Contribuintes","Feminino"
"2004","472","267,00","1702238,00","70 anos e mais","Quantidade de Contribuintes","Ignorado"
"2004","42230","34646,00","330211916,00","Ignorada","Quantidade de Contribuintes","Masculino"
"2004","25424","21222,00","149354558,00","Ignorada","Quantidade de Contribuintes","Feminino"
"2004","1828758","1060200,00","7210374489,00","Ignorada","Quantidade de Contribuintes","Ignorado"
"2005","1035916","585625,00","3102665259,00","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2005","690640","379423,33","1931129561,00","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2005","5144","3244,17","18227564,00","Até 19 anos","Quantidade de Contribuintes","Ignorado"
"2005","4176646","2786505,33","21200913598,00","20 a 24 anos","Quantidade de Contribuintes","Masculino"
"2005","2822086","1873631,75","12791912808,00","20 a 24 anos","Quantidade de Contribuintes","Feminino"
"2005","31704","22057,58","155305874,00","20 a 24 anos","Quantidade de Contribuintes","Ignorado"
"2005","4577577","3300435,33","34223099738,00","25 a 29 anos","Quantidade de Contribuintes","Masculino"
"2005","3133952","2247439,50","20275646641,00","25 a 29 anos","Quantidade de Contribuintes","Feminino"
"2005","11713","8493,83","85953017,00","25 a 29 anos","Quantidade de Contribuintes","Ignorado"
"2005","3898880","2899742,42","36883641830,00","30 a 34 anos","Quantidade de Contribuintes","Masculino"
"2005","2653437","1969958,67","20008343378,00","30 a 34 anos","Quantidade de Contribuintes","Feminino"
"2005","5958","4463,25","45761956,00","30 a 34 anos","Quantidade de Contribuintes","Ignorado"
"2005","3398310","2568403,67","37200657238,00","35 a 39 anos","Quantidade de Contribuintes","Masculino"
"2005","2354650","1782946,83","18333979465,00","35 a 39 anos","Quantidade de Contribuintes","Feminino"
"2005","3784","2921,42","26850302,00","35 a 39 anos","Quantidade de Contribuintes","Ignorado"
"2005","2969932","2272116,17","37733986446,00","40 a 44 anos","Quantidade de Contribuintes","Masculino"
"2005","2096867","1614114,08","17364901106,00","40 a 44 anos","Quantidade de Contribuintes","Feminino"
"2005","2654","2097,17","17165111,00","40 a 44 anos","Quantidade de Contribuintes","Ignorado"
"2005","2368477","1816808,42","33336390985,00","45 a 49 anos","Quantidade de Contribuintes","Masculino"
"2005","1647502","1276245,67","14185579719,00","45 a 49 anos","Quantidade de Contribuintes","Feminino"
"2005","2187","1770,25","14426067,00","45 a 49 anos","Quantidade de Contribuintes","Ignorado"
"2005","1709387","1302507,92","24668929641,00","50 a 54 anos","Quantidade de Contribuintes","Masculino"
"2005","1140980","881016,00","9049697691,00","50 a 54 anos","Quantidade de Contribuintes","Feminino"
"2005","1606","1310,42","11728230,00","50 a 54 anos","Quantidade de Contribuintes","Ignorado"
"2005","1028246","765048,00","12908492561,00","55 a 59 anos","Quantidade de Contribuintes","Masculino"
"2005","731442","568239,00","5113815493,00","55 a 59 anos","Quantidade de Contribuintes","Feminino"
"2005","1096","901,50","7826928,00","55 a 59 anos","Quantidade de Contribuintes","Ignorado"
"2005","529298","388856,08","5586185915,00","60 a 64 anos","Quantidade de Contribuintes","Masculino"
"2005","311187","223219,83","1929737596,00","60 a 64 anos","Quantidade de Contribuintes","Feminino"
"2005","472","377,08","3142312,00","60 a 64 anos","Quantidade de Contribuintes","Ignorado"
"2005","209554","147609,75","2079354438,00","65 a 69 anos","Quantidade de Contribuintes","Masculino"
"2005","106074","77151,50","638110292,00","65 a 69 anos","Quantidade de Contribuintes","Feminino"
"2005","196","146,92","1316911,00","65 a 69 anos","Quantidade de Contribuintes","Ignorado"
"2005","124510","92041,17","1271848656,00","70 anos e mais","Quantidade de Contribuintes","Masculino"
"2005","55348","39837,33","354409473,00","70 anos e mais","Quantidade de Contribuintes","Feminino"
"2005","397","237,33","1780143,00","70 anos e mais","Quantidade de Contribuintes","Ignorado"
"2005","35574","29196,83","306922161,00","Ignorada","Quantidade de Contribuintes","Masculino"
"2005","20295","16907,92","130840059,00","Ignorada","Quantidade de Contribuintes","Feminino"
"2005","1141357","533764,75","4084448736,00","Ignorada","Quantidade de Contribuintes","Ignorado"
"2006","922002","497235,67","2934448858,88","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2006","632885","330347,50","1853961385,45","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2006","573","312,75","1783791,77","Até 19 anos","Quantidade de Contribuintes","Ignorado"
"2006","4048808","2654738,92","22116771395,34","20 a 24 anos","Quantidade de Contribuintes","Masculino"
"2006","2744043","1796964,58","13359805721,89","20 a 24 anos","Quantidade de Contribuintes","Feminino"
"2006","972","530,08","3349301,76","20 a 24 anos","Quantidade de Contribuintes","Ignorado"
"2006","4754943","3385415,58","38203780263,94","25 a 29 anos","Quantidade de Contribuintes","Masculino"
"2006","3289153","2339350,00","22931433650,66","25 a 29 anos","Quantidade de Contribuintes","Feminino"
"2006","1691","1211,08","11169407,69","25 a 29 anos","Quantidade de Contribuintes","Ignorado"
"2006","4022707","2953812,33","40415460227,25","30 a 34 anos","Quantidade de Contribuintes","Masculino"
"2006","2758215","2027378,33","22268280983,09","30 a 34 anos","Quantidade de Contribuintes","Feminino"
"2006","3834","2904,50","30736658,70","30 a 34 anos","Quantidade de Contribuintes","Ignorado"
"2006","3451759","2575470,25","39839140222,00","35 a 39 anos","Quantidade de Contribuintes","Masculino"
